Date,Closing Price
2018년 09월 17일,68.91
2018년 09월 14일,68.99
2018년 09월 13일,68.59
2018년 09월 12일,70.37
2018년 09월 11일,69.25
2018년 09월 10일,67.54
2018년 09월 07일,67.75
2018년 09월 06일,67.77
2018년 09월 05일,68.72
2018년 09월 04일,69.87
2018년 09월 03일,70.12
2018년 09월 02일,69.92
2018년 08월 31일,69.8
2018년 08월 30일,70.25
2018년 08월 29일,69.51
2018년 08월 28일,68.53
2018년 08월 27일,68.87
2018년 08월 24일,68.72
2018년 08월 23일,67.83
2018년 08월 22일,67.86
2018년 08월 21일,67.35
2018년 08월 20일,66.43
2018년 08월 17일,65.91
2018년 08월 16일,65.46
2018년 08월 15일,65.01
2018년 08월 14일,67.04
2018년 08월 13일,67.2
2018년 08월 10일,67.63
2018년 08월 09일,66.81
2018년 08월 08일,66.94
2018년 08월 07일,69.17
2018년 08월 06일,69.01
2018년 08월 03일,68.49
2018년 08월 02일,68.96
2018년 08월 01일,67.66
2018년 07월 31일,68.76
2018년 07월 30일,70.13
2018년 07월 27일,68.69
2018년 07월 26일,69.61
2018년 07월 25일,69.3
2018년 07월 24일,68.52
2018년 07월 23일,67.89
2018년 07월 20일,70.46
2018년 07월 19일,69.46
